"scene_name","start_image","end_image","prompt","gpt_prompt","color"
"11_一刀断枪","","","刀光特写 寒光闪过 金属断裂","极近景高速快门特写,一道雪白刀光即将水平划过画面中心,一只握黑色手枪的手臂被定格成光影剪影(避免血腥只用光效表现),金属寒光飞溅,背景是雨幕与紫青色霓虹散光模糊,画面充满金属反光与雨滴,低饱和冷色调,电影感,横屏构图。摄影风格:photorealistic candid action shot,shot on 35mm film,motion blur,subtle grain,natural rain-soaked atmosphere;真实感锚:真实皮肤纹理、湿发贴额、汗水/雨水自然流淌,不修图不美化,不要 HDR 光晕。首帧:刀光刚接触枪身,火花初起;尾帧:相机沿刀锋轨迹轻快横摇,刀光已掠过,手枪断成两截在半空飞散开约 30cm,更多金属寒光与火花飞溅,背景雨丝因高速快门更清晰。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","rainy_night"
"12_群起围攻","","","俯视中景 数人围攻 刀光交错","俯视中景镜头,林渊(黑T恤,握刀)被四五个红发小混混围成圆形包抄,几把砍刀从不同角度挥来,林渊身体侧转挥刀招架,动作模糊带速度线,雨水在地面飞溅,所有人湿透,紫青色霓虹从高处打下,剪影感强烈,画面紧张压迫但无血腥特写,中国都市背景,冷色调,横屏 16:9。摄影风格:photorealistic candid action shot,shot on 35mm film,motion blur,subtle grain,natural rain-soaked atmosphere;真实感锚:真实皮肤纹理、湿发贴额、汗水/雨水自然流淌,不修图不美化,不要 HDR 光晕。首帧:围攻者刚举起武器,林渊刚开始侧转;尾帧:相机围绕林渊做 30° 弧形摇移,围攻者武器挥到更近位置,林渊侧转幅度更大一个身位,刀光交错更密集,衣摆与头发扬起。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"13_仰倒凝望","","","仰角慢镜 身躯倒地 雨落面颊","仰角慢镜头,林渊(30岁硬汉脸,黑色短发)仰面倒在湿漉巷子地面,眼睛半睁望向夜空,雨滴从上方落下击打在脸颊和睫毛上,嘴角有一丝不甘,瞳孔微散,背景是模糊紫青色霓虹光晕与深黑雨夜天空,画面静默悲壮,无血迹特写只有湿漉感与冷光,电影长镜头感,横屏构图。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:林渊眼睛半睁还有一丝光彩,嘴角微抿;尾帧:相机从正俯视角微降至 45° 斜俯,林渊眼神逐渐涣散失焦,嘴角放松,眼睑缓慢下垂,雨滴更密,地面积水涟漪从身边向外扩散。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"14_夜转晨","","","延时镜头 云层流动 色温转金","延时摄影长镜头,纯环境空镜画面中无人物无建筑,镜头固定仰视天空,厚云层快速流动,画面色温从深夜蓝紫色过渡到黎明金橙色,星光消失,第一缕阳光从云缝洒出,氛围从压抑转为希望,电影感转场,横屏构图。摄影风格:cinematic twilight photograph,shot on 35mm film,natural magic-hour light,subtle film grain;真实感锚:像纪录片质感,不要过度锐化,不要 HDR。首帧:画面整体深蓝紫色调,少量星光,云层偏厚;尾帧:相机做明显仰角升镜,画面从深蓝紫过渡到金橙色调,云层被晨光染亮,第一道光线从云缝明显刺出,星光消失,云层位置向右移动约画宽 20%。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","transition"
"15_晨光初现","","","平移远景 薄雾散去 晨光斜射","平移远景镜头,纯环境空镜画面中无人物,一条宽阔江面飘薄雾,晨光从右侧斜射而来,水面反射金色细波,远处中国城市天际线呈柔和剪影,氛围宁静舒缓,5000K暖色调,米白+原木色+淡金色,低饱和,水彩画般柔和,横屏 16:9。摄影风格:cinematic twilight photograph,shot on 35mm film,natural magic-hour light,subtle film grain;真实感锚:像纪录片质感,不要过度锐化,不要 HDR。首帧:江面薄雾较浓,晨光初现偏柔;尾帧:相机水平左摇约 10°,薄雾明显散开,晨光由柔和变锐利,水面金波从零星变成连片跳动,远处船只轮廓从模糊变清晰。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","transition"
"16_惊醒坐起","","","俯拍近景 青年睁眼 冷汗浸额","俯拍近景镜头,林默(瘦削亚洲男大学生,20岁,一米七五50公斤,戴黑色掉漆眼镜框,乱糟糟黑发,穿白色背心)从窄小单人床上坐起,额头渗汗,床上床下堆满厚书,墙纸斑驳米白色,窗户在画面右侧,45度晨光斜射在床单画出长方形光斑,5000K温暖基调,中国城中村出租屋环境,横屏构图。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:林默刚睁眼表情惊恐,额头细汗;尾帧:相机沿轴向推进约 30cm 靠近床头,林默完全坐起身子,眼神从惊恐转为锐利(灵魂交换瞬间),嘴角微抿,被子从肩头滑落,窗外晨光加强。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"17_对镜凝视","","","镜像中景 陌生脸孔 眼神转冷","中景镜子对切镜头,挂在斑驳米白色墙上一面无边框长方形镜子,映出林默上半身(戴黑框眼镜,瘦削白背心),画面一半现实一半镜像,晨光从右侧窗户斜射进来,空间压抑但色调温暖,5000K,中国城中村出租屋环境,横屏 16:9。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:林默左手扶镜框右手刚触碰脸颊,表情困惑;尾帧:相机从林默侧后方缓慢环绕 15° 到半侧面,林默的手仍停在脸上,表情从困惑转为了然,眼神显露沉冷锐利,镜中与镜外形成明显角度差。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"18_一拳入墙","","","侧拍近景 拳头击墙 留凹陷","侧拍近景镜头,林默瘦削右臂挥出一记直拳击打米白色斑驳墙面,金色晨光从侧面打来温暖但戏剧感强,5000K,中国城中村出租屋环境,横屏构图。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:拳头刚触碰墙面,墙面尚未凹陷,手臂紧绷;尾帧:相机从墙面右侧明显横摇到左侧,拳头已嵌入墙面约半寸深,碎屑灰尘飘散在空中形成可见粉尘云,林默表情略惊讶,手臂肌肉仍紧绷。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"19_翻找枕下","","","手部特写 翻开枕头 摸出物品","俯视手部特写镜头,林默的两只瘦削年轻的手正在翻动一个发黄旧枕头,床单是廉价格子棉布,光线从画面右上角45度斜射进来,暖色调5000K,复古怀旧质感,中国城中村出租屋环境,横屏 16:9。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:手正要掀起枕头,枕头还没完全抬起;尾帧:相机微俯冲靠近床铺,枕头已被完全掀开并滑落床边一半,露出枕下的老式功能机、廉价黑色皮包、蓝色学生证,光线从窗外斜照进来。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"20_学生证","","","极近景 证件信息 清晰显现","极近景特写镜头,纯道具特写,一张中国大学生学生证正面,蓝色硬壳,上面贴着林默的证件照(戴眼镜瘦削内向青年),信息栏文字清晰：高南大学 计算机系 二年级13班 林默,右下角盖学校红色印章,学生证被一只手拇指食指捏住边角,背景虚化为暖色调室内,晨光温柔,5000K,横屏构图。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:证件略倾斜,照片面部分被阴影覆盖;尾帧:相机做明显变焦,焦点从证件边缘推到人脸照片,证件被翻正角度,照片和文字完全清晰可读,背景桌面完全虚化。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"21_手机震动","","","屏幕特写 来电妈妈 震动模糊","极近景特写镜头,一部老旧掉漆的诺基亚风格功能机(非智能机),小尺寸黑白屏幕上显示来电字样：妈妈,手机在床单上,背景虚化晨光米白色床单,暖色调5000K,复古怀旧感,机身边缘有明显磨损掉漆,横屏 16:9。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:手机安静躺在床单上屏幕暗;尾帧:相机微推近手机屏幕特写,手机屏幕从暗变亮,显示'妈妈'来电字样,机身带明显震动模糊,床单因震动出现细微褶皱,背景轻微失焦。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"22_握机沉默","","","侧坐中景 低头握机 晨光斜照","中景侧拍镜头,林默坐在窄小床边,身体微微前倾,晨光从画面右侧窗户斜射过来照亮他半边脸庞与手背,房间狭小堆满书籍,暖色基调5000K,氛围静谧温情,中国城中村出租屋,电影感,横屏构图。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:林默刚把手机举到耳边,表情还有陌生感;尾帧:相机缓慢环绕林默脸部 10°,林默低头将手机贴紧耳边,表情从陌生转为触动,眼眶略红,窗外光线从侧面打亮半张脸。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","dawn"
"23_出门推门","","","中景跟镜 青年推门 城中村光线","中景跟拍镜头,林默换了件白衬衫戴眼镜,正在推开一扇掉漆铁门走出一幢老旧中国城中村出租屋,背后昏暗楼道,前方明亮白日街巷,电线杂乱,墙面贴满模糊广告(不写字),中午阳光从头顶直射,中性色温6500K,写实纪录片风格,横屏 16:9。摄影风格:documentary-style photograph,natural daylight,slight motion,candid framing,realistic color science;真实感锚:像手机随拍抓到的生活片段,不要棚拍感,不要过饱和。首帧:林默刚用手推门,门开一半;尾帧:相机跟随林默出门做推镜,门从半开被完全推开,林默跨出半步进入明亮街巷,阳光打在他身上,从室内暗调切换到户外亮调。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","daylight"
"24_白昼巷尾","","","广角俯视 巷道狼藉 白日环境","广角俯视镜头,纯环境空镜画面中无人物,一条狭窄中国城中村后巷在白天阳光下显露全貌,地面堆满垃圾袋和废弃纸箱,墙面爬满电线和模糊广告(不写字),远处有一个生锈垃圾桶,地面还有隐约水渍痕迹,中性色温6500K,中等饱和度,写实纪录片质感,横屏构图。摄影风格:documentary-style photograph,natural daylight,slight motion,candid framing,realistic color science;真实感锚:像手机随拍抓到的生活片段,不要棚拍感,不要过饱和。首帧:整条巷道空无一人,阳光略斜;尾帧:相机缓慢水平右摇约 15°,云影明显从左向右移动穿过巷道,阳光角度变化导致地面光影明显位移,垃圾桶旁一张废纸被微风吹动翻卷。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","daylight"
"25_取回黑卡","","","手部特写 卡片取出 贴身收起","极近景微距特写镜头,林默的手(瘦削但骨节分明)伸向一个生锈垃圾桶底部的缝隙,画面背景虚化为巷道质感,光线为顶部投射的白日光,中性色温6500K,明亮通透,中国城中村环境,横屏 16:9。摄影风格:documentary-style photograph,natural daylight,slight motion,candid framing,realistic color science;真实感锚:像手机随拍抓到的生活片段,不要棚拍感,不要过饱和。首帧:手指刚伸入缝隙即将触碰到黑卡;尾帧:相机明显推近到手指特写,焦点从缝隙拉到黑卡表面,手指已捏住黑卡(带金色边框)抽出大半,卡片表面有一道从左到右的反光掠过。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","daylight"
"26_银行取款","","","柜台近景 现金入袋 嘴角微扬","近景平视构图,林默(戴眼镜白衬衫)站在现代化中国银行柜台前,一个年轻貌美女柜员(25岁,职业装)正在递出一叠厚厚红色百元人民币(约五万元,橡皮筋捆好),柜台玻璃+金属质感,背景模糊银行大厅,中性色温6500K,明亮通透,横屏构图。摄影风格:documentary-style photograph,natural daylight,slight motion,candid framing,realistic color science;真实感锚:像手机随拍抓到的生活片段,不要棚拍感,不要过饱和。首帧:柜员手刚递出钞票,林默手还在柜台边缘;尾帧:相机从柜台左侧摇到右侧跟随钞票,林默伸手接过钞票完成交接,嘴角一丝不易察觉的微笑,柜员手已回落,玻璃窗外人影走过。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","daylight"
"27_网吧键入","","","屏幕特写 聊天窗口 手指敲键","极近景特写镜头,一台昏暗中国网吧老式台式机屏幕,QQ聊天窗口显示对话记录：老板好久没见你上线了/有事/我们能见个面吗/不能,林默的手指在发黄机械键盘上敲击,屏幕蓝光反射在手背,背景虚化为网吧深色包围感,暖灯3200K局部光源冷色屏幕与暖色室内戏剧反差,横屏 16:9。摄影风格:candid indoor photograph,natural window light,35mm film feel,warm ambient shadow;真实感锚:真实皮肤纹理、自然毛发、房间杂物可见,不美化不修图。首帧:聊天窗口显示到'我们能见个面吗',手指悬停键盘上方;尾帧:相机微推近键盘和屏幕,聊天记录明显新增一行'不能',手指刚敲完回车按键正在回收,屏幕光在林默脸上明暗变化。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","night_indoor"
"28_中天大厦","","","仰角广角 高楼耸立 玻璃反光","仰角极广角镜头,纯环境空镜画面中无人物,一幢55层现代中国商业摩天大楼(虚构名中天大厦)直插蓝天,玻璃幕墙反射白日阳光,楼身线条硬朗冷峻,天空少量白云,构图从底部仰视呈强烈透视,写实建筑摄影风格,中性色温6500K偏冷,横屏构图。摄影风格:documentary-style photograph,natural daylight,slight motion,candid framing,realistic color science;真实感锚:像手机随拍抓到的生活片段,不要棚拍感,不要过饱和。首帧:一小片白云靠近楼顶左侧;尾帧:相机做明显仰角上摇,白云从楼顶左侧明显移动到楼顶中央偏右,玻璃幕墙反光区域随之上移,阳光强度变化导致幕墙亮部增大。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","daylight"
